,0,1,2
565,BX1,121000,2014-08-08 21:14:42
566,BX1,121000,2014-08-08 21:15:13
567,BX1,122400,2014-08-08 21:15:20
568,BX1,120900,2014-08-08 21:15:21
569,BX1,122400,2014-08-08 21:15:28
570,BX1,124800,2014-08-08 21:15:33
571,BX1,125700,2014-08-08 21:15:38
572,BX1,121000,2014-08-08 21:15:44
573,BX1,120900,2014-08-08 21:15:52
574,BX1,122400,2014-08-08 21:15:52
575,BX1,125700,2014-08-08 21:16:09
576,BX1,121000,2014-08-08 21:16:16
577,BX1,120900,2014-08-08 21:16:23
578,BX1,122400,2014-08-08 21:16:23
579,BX1,122400,2014-08-08 21:16:32
580,BX1,124800,2014-08-08 21:16:36
581,BX1,125700,2014-08-08 21:16:41
582,BX1,121000,2014-08-08 21:16:47
583,BX1,125700,2014-08-08 21:17:12
584,BX1,121000,2014-08-08 21:17:18
585,BX1,120900,2014-08-08 21:17:26
586,BX1,122400,2014-08-08 21:17:26
587,BX1,122400,2014-08-08 21:17:36
588,BX1,124800,2014-08-08 21:17:40
589,BX1,122400,2014-08-08 21:17:57
590,BX1,120900,2014-08-08 21:17:58
591,BX1,122400,2014-08-08 21:18:07
592,BX1,124800,2014-08-08 21:18:11
593,BX1,125700,2014-08-08 21:18:15
594,BX1,121000,2014-08-08 21:18:23
595,BX1,122400,2014-08-08 21:18:28
596,BX1,120900,2014-08-08 21:18:30
597,BX1,122400,2014-08-08 21:19:00
598,BX1,120900,2014-08-08 21:19:01
599,BX1,122400,2014-08-08 21:19:11
600,BX1,124800,2014-08-08 21:19:15
601,BX1,125700,2014-08-08 21:19:18
602,BX1,121000,2014-08-08 21:19:26
603,BX1,122400,2014-08-08 21:19:42
604,BX1,124800,2014-08-08 21:19:46
605,BX1,125700,2014-08-08 21:19:50
606,BX1,121000,2014-08-08 21:19:58
607,BX1,122400,2014-08-08 21:20:02
608,BX1,120900,2014-08-08 21:20:05
609,BX1,125700,2014-08-08 21:20:24
610,BX1,120900,2014-08-08 21:20:36
611,BX1,122400,2014-08-08 21:20:46
612,BX1,124800,2014-08-08 21:20:50
613,BX1,125700,2014-08-08 21:20:59
614,BX1,121000,2014-08-08 21:21:01
615,BX1,122400,2014-08-08 21:21:05
616,BX1,120900,2014-08-08 21:21:08
617,BX1,122400,2014-08-08 21:21:18
618,BX1,122400,2014-08-08 21:21:36
619,BX1,120900,2014-08-08 21:21:40
620,BX1,122400,2014-08-08 21:21:49
621,BX1,124800,2014-08-08 21:21:53
622,BX1,121000,2014-08-08 21:22:04
623,BX1,122400,2014-08-08 21:22:07
624,BX1,120900,2014-08-08 21:22:13
625,BX1,121000,2014-08-08 21:22:36
626,BX1,122400,2014-08-08 21:22:39
627,BX1,120900,2014-08-08 21:22:44
628,BX1,122400,2014-08-08 21:22:52
629,BX1,125700,2014-08-08 21:22:54
630,BX1,124800,2014-08-08 21:22:57
631,BX1,122400,2014-08-08 21:23:24
632,BX1,125700,2014-08-08 21:23:28
633,BX1,124800,2014-08-08 21:23:29
